Text,identifies text as in Collection A
Planet,identifies planet
Event,phi = first station; psi = second station
Tera,reign or SE for Seleucid Era
TY,Babylonian year number
TM,Bab month number
TD,Bab day number
NSName,the Normal Star
NSNo,number of star in Sachs-Hunger list
East?,Y if there is or was a measurement behind/in front; N if definitely not; ? If uncertain
East_cub,cubits distance reported; fingers have been converted to cubits at 24 fingers = 1 cubit; negative means in front
North?,Y if there is or was a measurement above/below; N if definitely not; ? If uncertain
North_cub,cubits distance reported; fingers have been converted; negative means below
JY,Julian calendar year
TrueDate,Closest date to station according to JPL ephemeris
JPLLong,Longitude at 21 UT from JPL
JPLLat,Latitude at 21 UT
Notes,miscellaneous notes
NSLong,longitude of median passage point of Normal Star
NSLat,latitude of Normal Star
NSLongUncorr,longitude of Normal Star uncorrected for passage point


Text,Planet,Event,Tera,TY,TM,TD,NSName,NSNo,East?,East_cub,North?,North_cub,JY,TrueDate,JPLLong,JPLLat,Notes,NSLong,NSLat,NSLongUncorr
H69,Mars,Psi,SE,31,11,,aGem,11,Y,-2,N,,-279,b0280-Jan-23 21:00,71.5745026,3.4257533,text: bGem,77.30255633,9.812448625,78.54672063
H69,Mars,Phi,SE,31,8,7,thCnc,14,Y,-0.333333333,N,,-280,b0281-Nov-05 21:00,90.8737871,1.9351224,,93.4560962,-0.970676667,94.06855
H69,Mars,Psi,SE,29,8,26,hTau,4,Y,2.333333333,N,,-282,b0283-Dec-14 21:00,34.0852552,1.8908181,,26.8776337,3.819412667,28.27873267
H72,Jupiter,Psi,SE,26,1,13,thLeo,20,Y,-0.333333333,N,,-285,b0286-Apr-17 21:00,136.1950837,1.4643686,Balance of rump of lion,134.9670591,9.646588542,131.6284152
H72,Jupiter,Phi,SE,25,9,15,bVir,21,Y,0.5,N,,-286,b0287-Dec-15 21:00,146.1549927,1.3491724,,144.7934092,0.645061583,144.887071
H72,Jupiter,Phi,SE,24,8,5,aLeo,18,Y,-1.333333333,N,,-287,b0288-Nov-15 21:00,115.6481409,0.7543994,,118.0900052,0.363996167,118.1889485
BM32154,Saturn,Phi,SE,22,,,bVir,21,Y,1.5,N,,-289,b0290-Dec-12 21:00,148.8763488,2.0343804,,144.7512297,0.644958208,144.8448915
H70,Jupiter,Psi,SE,16,2,25,aLib,24,Y,-0.25,N,,-295,b0296-Jun-13 21:00,192.537675,1.2938672,,193.1123467,0.637190208,193.1969194
H70,Jupiter,Psi,SE,15,2,13,gVir,22,Y,1.166666667,N,,-296,b0297-May-13 21:00,162.0118962,1.5693358,,158.4430158,2.841739333,158.2153853
H70,Jupiter,Psi,SE,12,12,,dCnc,16,Y,1.67,N,,-298,b0299-Mar-11 21:00,101.1659855,0.8759509,,96.52081774,-0.0185245,96.75413308
H70,Jupiter,Psi,SE,11,11,,gGem,10,Y,1,N,,-299,b0300-Feb-06 21:00,69.2726492,0.0540376,,66.88576248,-7.001079958,67.155006
BM34625,Mars,Phi,SE,12,5,,hTau,4,Y,-1.5,N,,-299,b0300-Sep-03 21:00,22.2955159,-3.0747073,,26.6424047,3.817763667,28.04350367
-302,Jupiter,Psi,SE,9,9,26,bAri,2,Y,-1,N,,-302,b0303-Nov-29 21:00,0.2019265,-1.466457,,2.143025458,8.405751083,1.979672917
H68,Mars,Phi,SE,8,3,12,thOph,29,Y,-1.833333333,N,,-303,b0304-Jun-23 21:00,226.3580562,-3.7526177,,229.8210907,-1.526742042,229.3919855
H66,Jupiter,Phi,Dar_III,3,12,,aLib,24,Y,-1.333333333,N,,-331,b0332-Jan-27 21:00,189.1573501,1.5385729,,192.6151972,0.641250708,192.6997699
H66,Jupiter,Phi,Dar_III,1,9,,rLeo,19,Y,2,N,,-334,b0335-Nov-28 21:00,128.5788379,1.0542094,,123.8705441,0.0263295,123.9529242
H66,Jupiter,Phi,Art_III,18,1,29,gCap,31,Y,-2.5,N,,-340,b0341-May-04 21:00,282.1462442,-0.4174001,,288.990032,-2.309384167,289.1492258
H66,Jupiter,Psi,Art_III,12,12,19,aLeo,18,Y,-1.166666667,N,,-345,b0346-Mar-25 21:00,114.1610494,1.1589675,,117.2910431,0.360815833,117.3899865
H66,Jupiter,Psi,Art_III,5,4,19,thOph,29,Y,2,N,,-353,b0354-Jul-25 21:00,233.3509001,0.3689554,,229.1292511,-1.519873292,228.7001459
H66,Jupiter,Phi,Art_III,3,11,12,bSco,27,Y,0.25,N,,-354,b0355-Feb-19 21:00,211.068356,1.3021802,,210.3611482,1.297500167,210.4941354
H61,Mars,Psi,Art_III,1,11,19,eLeo,17,Y,-2,N,,-356,b0357-Feb-26 21:00,102.473812,3.6874374,,107.7828806,9.530944167,107.9485062
H60,Jupiter,Psi,Art_II,20,10,1,aTau,5,Y,-1.333333333,N,,-383,b0384-Jan-03 21:00,35.215052,-0.8254402,,37.2169974,-5.632596458,36.63926833
H61,Mars,Psi,Art_II,20,1,22,aVir,23,Y,-1.25,N,,-384,b0385-May-01 21:00,167.9791653,1.0356557,,170.5182747,-1.900081333,170.739728
H60,Jupiter,Phi,Art_II,20,6,6,bTau,6,Y,-1.67,N,,-384,b0385-Sep-07 21:00,45.282864,-1.0540502,,48.49585137,5.18814,49.44054867
H70,Jupiter,Psi,SE,21,8,20,aAri,3,?,,Y,-3,-290,b0291-Dec-04 21:00,5.4002983,-1.40444,text: bAri,6.401213388,9.91043375,5.792912917
H66,Jupiter,Phi,Alex,11,5,,aTau,5,?,,Y,1.67,-325,b0326-Aug-29 21:00,35.5259269,-1.2528443,,38.0205874,-5.628717708,37.44285833
H66,Jupiter,Psi,Alex,11,9,15,hTau,4,?,,Y,-1.67,-325,b0326-Dec-25 21:00,25.4691819,-1.0519996,,26.2826427,3.815241667,27.68374167
H66,Jupiter,Psi,Art_III,18,5,,bCap,30,?,,Y,-2.833333333,-340,b0341-Sep-02 21:00,272.3044704,-0.6927767,,272.5937595,4.84579,271.507745
-322,Jupiter,Psi,Phil,1,12,21,rLeo,19,?,,Y,0.5,-321,b0322-Apr-03 21:00,123.0279564,1.3036238,,124.0504478,0.027162583,124.1328279
-284,Mars,Psi,SE,27,7,15,hPsc,1,?,,Y,-0.67,-284,b0285-Oct-20 21:00,345.1362143,-1.8136864,,355.8790641,5.251087667,355.0808257
-195,Jupiter,Phi,SE,116,4,26,hTau,4,?,,Y,-2.5,-195,b0196-Aug-13 21:00,20.6463156,-1.4761522,NS? Dir?,28.0814527,3.827851667,29.48255167
-124,Mars,Psi,SE,187,9,15,aTau,5,?,,Y,3,-124,b0125-Dec-19 21:00,40.3763054,2.1777159,,40.8054424,-5.615275833,40.22771333
-87,Jupiter,Phi,SE,224,7,6,mGem,9,?,,Y,0.083333333,-87,b0088-Sep-25 21:00,65.6403084,-0.6339772,,66.12995932,-1.033640083,66.24737
-77,Saturn,Phi,SE,234,12,10,aSco,28,?,,Y,3,-76,b0077-Feb-19 21:00,219.4464103,2.3339606,,221.4794291,-4.297956167,220.9060008
-117,Saturn,Psi,SE,194,12,,aGem,11,N,,Y,-4.5,-116,b0117-Feb-22 21:00,79.7973633,-0.4331607,,79.5593932,9.833686167,80.8035575
-122,Jupiter,Phi,SE,189,,,bGem,12,N,,Y,-3,-122,b0123-Oct-14 21:00,84.5926195,-0.119118,,84.23366877,6.518474333,84.05929067
-173,Saturn,Psi,SE,138,12,23,aLeo,18,N,,Y,0.25,-172,b0173-Apr-03 21:00,119.2835005,1.3596545,,119.6741542,0.370302,119.7730975
H80,Jupiter,Phi,SE,130,7,,thCnc,14,N,,Y,0.333333333,-181,b0182-Oct-24 21:00,93.6635554,0.1480998,,94.82489495,-0.961073667,95.43734875
BM34405,Jupiter,Phi,SE,130,,,thCnc,14,N,,Y,0.333333333,-181,b0182-Oct-24 21:00,93.6635554,0.1480998,,94.82489495,-0.961073667,95.43734875
BM32443,Saturn,Psi,SE,47,12,4,bGem,12,N,,Y,-2,-263,b0264-Feb-25 21:00,82.8118988,-0.231436,,82.30554077,6.506559833,82.13116267
BM34894,Saturn,Psi,SE,47,,,bGem,12,N,,Y,-2,-263,b0264-Feb-25 21:00,82.8118988,-0.231436,,82.30554077,6.506559833,82.13116267
H66,Jupiter,Phi,Art_III,12,8,21,rLeo,19,N,,Y,0.25,-346,b0347-Nov-24 21:00,124.1645865,0.9661201,,123.7044791,0.0255605,123.7868592
-77,Jupiter,Phi,SE,234,4,23,hPsc,1,Y,1.333333333,Y,-2.5,-77,b0078-Jul-23 21:00,359.8826997,-1.5919406,,358.7427884,5.260523417,357.9445499
-85,Jupiter,Psi,SE,226,,,aLeo,18,Y,-0.666666667,Y,0.25,-84,b0085-Mar-28 21:00,119.6262239,1.1981115,,120.8863725,0.375127333,120.9853158
-87,Saturn,Psi,SE,224,12,17,bGem,12,Y,1,Y,-3,-86,b0087-Mar-02 21:00,87.8937093,-0.0688589,,84.72595677,6.521516333,84.55157867
-105,Jupiter,Psi,SE,206,2,27,bLib,25,Y,0.5,Y,-3,-105,b0106-Jun-22 21:00,202.0661442,1.1520195,,201.0024261,8.733734375,200.1271535
-109,Mars,Psi,SE,202,9,,hTau,4,Y,-1.67,Y,-1.5,-109,b0110-Dec-01 21:00,23.9473012,1.1645118,,29.2714347,3.836193667,30.67253367
-109,Jupiter,Phi,SE,202,8,,aLeo,18,Y,0.166666667,Y,0.166666667,-109,b0110-Nov-19 21:00,120.7762525,0.8273907,,120.5419923,0.3737565,120.6409356
-118,Jupiter,Psi,SE,193,1,29,aVir,23,Y,,Y,2,-118,b0119-May-17 21:00,167.0249771,1.5502421,,174.1964673,-1.9147335,174.4179206
-118,Saturn,Phi,SE,193,7,,mGem,9,Y,,Y,0.333333333,-118,b0119-Sep-27 21:00,72.5347734,-1.2793878,NS restored,65.70040265,-1.036902833,65.81781333
-123,Jupiter,Phi,SE,188,6,,zTau,7,Y,,Y,0.5,-123,b0124-Sep-11 21:00,51.0459099,-0.9745617,text: bTau,55.51439388,-2.464783792,55.26507496
-129,Jupiter,Psi,SE,182,,,aLib,24,Y,-1,Y,0.25,-129,b0130-Jun-13 21:00,193.1328786,1.3000003,,195.4047583,0.618466792,195.489331
BM35696,Saturn,Phi,SE,181,,,bCap,30,Y,-1,Y,-2,-129,b0131-Apr-16 21:00,273.9623687,0.3016064,,275.5157402,4.820962333,274.4297258
BM35696,Saturn,Psi,SE,181,,,bCap,30,Y,-3.5,Y,-2,-129,b0131-Sep-04 21:00,267.3312379,0.1028971,,275.5157402,4.820962333,274.4297258
BM34053,Saturn,Psi,SE,177,4,8,aSco,28,Y,1,Y,3,-134,b0135-Jul-20 21:00,222.3222399,1.9532058,,220.6770837,-4.290520083,220.1036554
-135,Mars,Psi,SE,176,,,rLeo,19,Y,,Y,1.5,-134,b0135-Mar-18 21:00,123.9397237,3.3206054,,126.6382941,0.039146167,126.7206742
-136,Venus,Phi,SE,175,,,bTau,6,Y,-0.083333333,Y,-0.041666667,-135,b0136-Apr-17 21:00,52.6298767,5.0390446,,51.94214624,5.208734375,52.88684354
-140,Saturn,Phi,SE,171,,24,aVir,23,Y,-0.5,Y,2.5,-139,b0140-Jan-02 21:00,171.3712286,2.5178848,north?,173.9060837,-1.91357675,174.127537
-141,Jupiter,Psi,SE,170,3,12,aLib,24,Y,-3,Y,1,-141,b0142-Jun-08 21:00,188.6911801,1.3654043,,195.2390418,0.619820292,195.3236145
-144,Saturn,Phi,SE,167,9,5,aLeo,18,Y,0.5,Y,0.25,-144,b0145-Nov-13 21:00,120.4847789,0.9070233,,120.05986,0.371837333,120.1588033
-146,Jupiter,Psi,SE,165,,,mGem,9,Y,-0.25,Y,0.333333333,-145,b0146-Feb-01 21:00,65.0254252,-0.1035498,,65.32627265,-1.039744583,65.44368333
BM34053,Jupiter,,SE,165,,,mGem,9,Y,,Y,-0.333333333,-145,b0146-Feb-01 21:00,65.0254252,-0.1035498,,65.32627265,-1.039744583,65.44368333
BM35317,Mars,Psi,SE,166,3,25,thOph,29,Y,1,Y,-0.666666667,-145,b0146-Jun-30 21:00,234.9155551,-4.289931,,232.0073038,-1.548447292,231.5781985
BM34053,Jupiter,Psi,SE,153,11,6,hGem,8,Y,-1.5,Y,0.25,-157,b0158-Jan-28 21:00,60.2117897,-0.2292351,1.5c e/w h/mGem,63.18185958,-1.173292667,63.44785925
-162,Jupiter,Psi,SE,149,5,23,bCap,30,Y,3,Y,-0.666666667,-162,b0163-Sep-06 21:00,277.6634346,-0.7774567,,275.058748,4.824845333,273.9727335
-164,Saturn,Phi,SE,147,,23,thOph,29,Y,1.166666667,Y,1,-163,b0164-Mar-05 21:00,233.4958858,1.9302897,,231.7582415,-1.545974542,231.3291363
H79,Mars,Psi,SE,142,11,4,bGem,12,Y,-0.166666667,Y,-3,-168,b0169-Feb-04 21:00,82.4453336,3.5964402,,83.6046341,6.514587333,83.430256
BM34034,Saturn,Psi,SE,135,,,aGem,11,Y,-0.25,Y,,-175,b0176-Feb-20 21:00,77.971368,-0.4919645,[] 1/2? South,78.74250133,9.825998958,79.98666563
-178,Mars,Phi,SE,133,12,28,thOph,29,Y,0.5,Y,1,-177,b0178-Apr-09 21:00,233.3362991,0.3161849,,231.5645264,-1.544051292,231.1354212
BM34405,Jupiter,Psi,SE,130,11,,bGem,12,Y,0.333333333,Y,-2,-180,b0181-Feb-21 21:00,83.605219,0.4095056,dist east?,83.4405381,6.513573333,83.26616
H80,Jupiter,Psi,SE,130,11,10,bGem,12,Y,,Y,-2,-180,b0181-Feb-21 21:00,83.605219,0.4095056,distance?,83.4405381,6.513573333,83.26616
H80,Jupiter,Phi,SE,131,8,27,rLeo,19,Y,-0.5,Y,0.5,-180,b0181-Nov-23 21:00,124.9461473,0.9401157,,126.0017116,0.036198333,126.0840917
-182,Jupiter,Psi,SE,129,11,4,bTau,6,Y,-0.166666667,Y,-2.5,-181,b0182-Jan-18 21:00,50.6519019,-0.4797549,,51.30548133,5.204929792,52.25017863
